3414.91200	4.19559	1.46967	0.45357	0.00013	-0.00188
3414.95200	4.19559	1.46968	0.45355	-0.00028	0.00177
3414.99200	4.19559	1.46968	0.45352	0.00013	-0.00187
3415.03200	4.19559	1.46968	0.45350	-0.00004	0.00110
3415.07200	4.19559	1.46968	0.45347	0.00008	-0.00158
3415.11200	4.19559	1.46968	0.45344	0.00013	-0.00154
3415.15200	4.19560	1.46968	0.45342	-0.00006	0.00127
3415.19200	4.19560	1.46968	0.45338	0.00008	-0.00159
3415.23200	4.19560	1.46968	0.45336	0.00013	-0.00153
3415.27200	4.19560	1.46969	0.45333	-0.00005	0.00125
3415.31200	4.19560	1.46969	0.45330	0.00008	-0.00158
3415.35200	4.19560	1.46969	0.45328	0.00013	-0.00155
3415.39200	4.19560	1.46969	0.45325	-0.00006	0.00124
3415.43200	4.19561	1.46969	0.45322	0.00008	-0.00157
3415.47200	4.19561	1.46969	0.45319	0.00014	-0.00161
3415.51200	4.19561	1.46969	0.45316	-0.00005	0.00120
3415.55200	4.19561	1.46969	0.45313	0.00007	-0.00152
3415.59200	4.19561	1.46969	0.45311	0.00014	-0.00161
3415.63200	4.19561	1.46970	0.45308	-0.00005	0.00120
3415.67200	4.19561	1.46970	0.45305	0.00007	-0.00154
3415.71200	4.19562	1.46970	0.45303	0.00014	-0.00160
3415.75200	4.19562	1.46970	0.45300	-0.00005	0.00119
3415.79200	4.19562	1.46970	0.45297	0.00008	-0.00155
3415.83200	4.19562	1.46970	0.45294	0.00014	-0.00160
3415.87200	4.19562	1.46970	0.45292	-0.00005	0.00118
3415.91200	4.19562	1.46971	0.45288	0.00007	-0.00156
3415.95200	4.19562	1.46971	0.45286	0.00013	-0.00158
3415.99200	4.19563	1.46971	0.45283	-0.00005	0.00118
3416.03200	4.19563	1.46971	0.45280	0.00007	-0.00153
3416.07200	4.19563	1.46971	0.45278	0.00013	-0.00157
3416.11200	4.19563	1.46971	0.45275	-0.00005	0.00117
3416.15200	4.19563	1.46971	0.45272	0.00007	-0.00150
3416.19200	4.19563	1.46971	0.45270	0.00013	-0.00157
3416.23200	4.19563	1.46971	0.45267	-0.00005	0.00117
3416.27200	4.19564	1.46972	0.45264	0.00007	-0.00150
3416.31200	4.19564	1.46972	0.45262	0.00013	-0.00155
3416.35200	4.19564	1.46972	0.45259	-0.00005	0.00119
3416.39200	4.19564	1.46972	0.45256	0.00007	-0.00150
3416.43200	4.19564	1.46972	0.45254	0.00013	-0.00154
3416.47200	4.19564	1.46972	0.45251	-0.00006	0.00135
3416.51200	4.19564	1.46972	0.45248	0.00008	-0.00161
3416.55200	4.19564	1.46972	0.45246	0.00013	-0.00153
3416.59200	4.19565	1.46972	0.45243	-0.00006	0.00133
3416.63200	4.19565	1.46973	0.45240	0.00008	-0.00162
3416.67200	4.19565	1.46973	0.45237	0.00013	-0.00152
3416.71200	4.19565	1.46973	0.45235	-0.00006	0.00133
3416.75200	4.19565	1.46973	0.45231	0.00008	-0.00161
3416.79200	4.19565	1.46973	0.45229	0.00013	-0.00151
3416.83200	4.19565	1.46973	0.45227	-0.00006	0.00134
3416.87200	4.19565	1.46973	0.45223	0.00008	-0.00160
3416.91200	4.19566	1.46973	0.45221	0.00012	-0.00149
3416.95200	4.19566	1.46973	0.45219	-0.00006	0.00135
3416.99200	4.19566	1.46974	0.45215	0.00008	-0.00156
3417.03200	4.19566	1.46974	0.45213	0.00012	-0.00147
3417.07200	4.19566	1.46974	0.45211	-0.00007	0.00138
3417.11200	4.19566	1.46974	0.45208	0.00008	-0.00157
3417.15200	4.19566	1.46974	0.45206	0.00012	-0.00147
3417.19200	4.19566	1.46974	0.45203	-0.00006	0.00137
3417.23200	4.19567	1.46974	0.45200	0.00008	-0.00157
3417.27200	4.19567	1.46974	0.45198	0.00012	-0.00146
3417.31200	4.19567	1.46974	0.45196	-0.00006	0.00136
3417.35200	4.19567	1.46975	0.45193	0.00008	-0.00156
3417.39200	4.19567	1.46975	0.45190	0.00012	-0.00144
3417.43200	4.19567	1.46975	0.45188	-0.00006	0.00136
3417.47200	4.19567	1.46975	0.45185	0.00008	-0.00156
3417.51200	4.19567	1.46975	0.45183	0.00012	-0.00143
3417.55200	4.19567	1.46975	0.45180	-0.00006	0.00135
3417.59200	4.19568	1.46975	0.45177	0.00008	-0.00156
3417.63200	4.19568	1.46975	0.45175	0.00012	-0.00142
3417.67200	4.19568	1.46975	0.45173	-0.00006	0.00135
3417.71200	4.19568	1.46976	0.45170	0.00008	-0.00157
3417.75200	4.19568	1.46976	0.45168	0.00012	-0.00141
3417.79200	4.19568	1.46976	0.45165	-0.00006	0.00134
3417.83200	4.19568	1.46976	0.45162	0.00008	-0.00157
3417.87200	4.19568	1.46976	0.45160	0.00012	-0.00140
3417.91200	4.19569	1.46976	0.45158	-0.00006	0.00133
3417.95200	4.19569	1.46976	0.45155	0.00008	-0.00157
3417.99200	4.19569	1.46976	0.45153	0.00012	-0.00139
3418.03200	4.19569	1.46976	0.45150	-0.00006	0.00133
3418.07200	4.19569	1.46977	0.45147	0.00008	-0.00157
3418.11200	4.19569	1.46977	0.45145	0.00012	-0.00137
3418.15200	4.19569	1.46977	0.45143	-0.00007	0.00139
3418.19200	4.19569	1.46977	0.45140	0.00008	-0.00163
3418.23200	4.19569	1.46977	0.45138	0.00012	-0.00133
3418.27200	4.19570	1.46977	0.45135	-0.00008	0.00150
3418.31200	4.19570	1.46977	0.45132	0.00008	-0.00164
3418.35200	4.19570	1.46977	0.45130	0.00012	-0.00131
